Date,Time_UTC,Latitude,Longitude,Depth,Depth Type,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,
2019-11-01,06:07:56,6.78,125.1,10, ,mb,4.9,MINDANAO, PHILIPPINES,2019-11-01 07:51,802408
2019-10-31,17:35:29,6.79,125.1,10,f,mb,4.9,MINDANAO, PHILIPPINES,2019-11-01 07:34,802307
2019-10-31,12:42:17,6.86,124.8,66, , M,4.4,MINDANAO, PHILIPPINES,2019-10-31 13:25,802249
2019-10-31,11:56:02,5.82,126.25,145, , M,4,MINDANAO, PHILIPPINES,2019-10-31 12:15,802245
2019-10-31,10:41:18,7.06,125.43,10,f,mb,4.5,MINDANAO, PHILIPPINES,2019-10-31 12:15,802232
2019-10-31,05:59:05,6.9,125.03,25, , M,4.2,MINDANAO, PHILIPPINES,2019-10-31 06:13,802190
2019-10-31,05:34:22,6.81,125.17,10,f,mb,4.6,MINDANAO, PHILIPPINES,2019-10-31 07:42,802187
2019-10-31,01:11:18,6.96,125.22,10,f,Mw,6.5,MINDANAO, PHILIPPINES,2019-10-31 01:35,802155
2019-10-30,18:23:46,6.82,125.13,10,f,mb,4.7,MINDANAO, PHILIPPINES,2019-10-31 07:37,802102
2019-10-30,16:35:24,6.71,124.96,10,f,mb,4.4,MINDANAO, PHILIPPINES,2019-11-08 05:42,802088
2019-10-30,08:00:14,6.72,125.09,10,f,mb,4.8,MINDANAO, PHILIPPINES,2019-10-30 09:00,802005
2019-10-30,00:37:01,6.87,125.17,10,f,mb,4.8,MINDANAO, PHILIPPINES,2019-10-30 07:40,801940
2019-10-29,22:21:33,6.74,125.04,16, ,mb,4.6,MINDANAO, PHILIPPINES,2019-11-08 04:58,801927
2019-10-29,17:35:24,6.84,124.91,10, , M,4.1,MINDANAO, PHILIPPINES,2019-10-29 17:55,801883
2019-10-29,15:13:14,6.68,125.08,10,f,mb,4.5,MINDANAO, PHILIPPINES,2019-11-06 20:58,801869
2019-10-29,08:46:02,6.79,125.18,10,f,mb,5.2,MINDANAO, PHILIPPINES,2019-10-29 10:51,801786
2019-10-29,08:33:11,6.9,125.01,10,f,Mw,5.3,MINDANAO, PHILIPPINES,2019-10-29 09:06,801783
2019-10-29,02:42:37,6.89,125.08,10,f,Mw,5.8,MINDANAO, PHILIPPINES,2019-10-29 07:52,801733
2019-10-29,01:28:05,6.89,125.02,10, ,mb,5.1,MINDANAO, PHILIPPINES,2019-10-29 07:47,801700
2019-10-29,01:04:44,6.83,125.12,20,f,Mw,6.6,MINDANAO, PHILIPPINES,2019-10-29 01:28,801696
2019-10-22,18:45:55,6.73,125.08,30, ,mb,4.5,MINDANAO, PHILIPPINES,2019-10-23 06:45,800415
2019-10-21,13:53:05,6.73,124.97,10,f,mb,4.5,MINDANAO, PHILIPPINES,2019-10-30 16:58,800195
2019-10-20,18:32:48,6.59,125.21,10,f,mb,4.5,MINDANAO, PHILIPPINES,2019-10-21 06:41,800012
2019-10-20,12:20:40,6.68,125.26,10,f,mb,4.7,MINDANAO, PHILIPPINES,2019-10-21 06:38,799964
2019-10-20,11:59:43,6.71,125.27,10,f,mb,5.1,MINDANAO, PHILIPPINES,2019-10-20 13:39,799962
2019-10-20,11:50:35,6.73,125.25,10,f,mb,5,MINDANAO, PHILIPPINES,2019-10-20 13:40,799960
2019-10-20,08:55:32,6.65,125.03,10, ,mb,5.2,MINDANAO, PHILIPPINES,2019-10-20 13:43,799934
2019-10-19,11:44:29,6.7,125.15,10, ,mb,5,MINDANAO, PHILIPPINES,2019-10-20 14:16,799760
2019-10-18,22:52:18,6.78,125.12,30, ,mb,5,MINDANAO, PHILIPPINES,2019-10-20 14:36,799666
2019-10-18,10:56:20,6.82,125,10,f,mb,4.9,MINDANAO, PHILIPPINES,2019-10-18 12:10,799567
2019-10-17,15:05:52,6.87,125.01,10,f,mb,4.9,MINDANAO, PHILIPPINES,2019-10-17 15:33,799410
2019-10-16,20:53:53,7.32,126.59,126, ,Mw,5.1,MINDANAO, PHILIPPINES,2019-10-17 06:56,799265
2019-10-16,12:21:00,6.65,125.23,10, ,mb,4.9,MINDANAO, PHILIPPINES,2019-10-16 14:51,799201
2019-10-16,12:09:30,6.81,125.06,10,f,Mw,5.3,MINDANAO, PHILIPPINES,2019-10-16 14:50,799198
2019-10-16,11:37:05,6.8,125.02,10,f,Mw,6.4,MINDANAO, PHILIPPINES,2019-10-16 11:58,799196
2019-09-29,02:02:52,5.72,126.58,89, ,Mw,6.2,MINDANAO, PHILIPPINES,2019-09-29 02:31,795599
2019-09-13,09:18:21,14.94,122.16,30, ,mb,4.7,LUZON, PHILIPPINES,2019-09-13 10:02,792036
2019-09-13,08:28:15,14.98,122.21,32,f,Mw,5.2,LUZON, PHILIPPINES,2019-09-13 08:56,792027
2019-09-10,05:39:23,6.74,126.42,50,f,Mw,5.6,MINDANAO, PHILIPPINES,2019-09-10 07:08,791421
2019-09-08,13:49:17,6.14,125.51,45, ,mb,5,MINDANAO, PHILIPPINES,2019-09-08 17:24,791122
2019-08-02,16:10:09,6.22,126.14,148, ,Mw,5.4,MINDANAO, PHILIPPINES,2019-08-03 06:33,783750
2019-07-15,04:26:30,7.05,125.02,10, , M,5,MINDANAO, PHILIPPINES,2019-07-15 04:35,779512
2019-07-12,20:42:54,9.32,126.08,7, ,Mw,5.8,MINDANAO, PHILIPPINES,2019-07-14 17:52,778802
2019-07-10,00:56:36,6.87,125.09,20, ,mb,5.1,MINDANAO, PHILIPPINES,2019-07-10 06:48,777863
2019-07-09,14:12:57,6.88,125.08,10,f,mb,4.9,MINDANAO, PHILIPPINES,2019-07-09 14:44,777680
2019-07-09,12:36:59,6.83,125.13,10,f,Mw,5.6,MINDANAO, PHILIPPINES,2019-07-09 12:58,777644
2019-06-29,19:00:07,9.72,125.12,51, ,Mw,5,MINDANAO, PHILIPPINES,2019-06-30 12:11,774147
2019-06-01,09:45:28,6.24,126.61,86, ,Mw,5.3,MINDANAO, PHILIPPINES,2019-06-01 16:15,768939
2019-05-31,10:12:31,6.3,126.48,91, ,Mw,6.1,MINDANAO, PHILIPPINES,2019-05-31 18:42,768739
2019-05-04,01:05:09,12.43,120.99,10,f,Mw,5.7,MINDORO, PHILIPPINES,2019-05-05 08:19,763445
2019-04-23,18:03:01,14.92,120.58,61,f,mb,4.7,LUZON, PHILIPPINES,2019-04-24 08:15,760993
2019-04-23,05:37:53,11.8,125.17,66, ,Mw,6.4,SAMAR, PHILIPPINES,2019-04-23 06:00,760848
2019-04-22,09:11:11,14.91,120.51,20,f,Mw,6.1,LUZON, PHILIPPINES,2019-04-22 17:19,760623
2019-03-25,02:53:02,9.95,123.92,10, ,mb,4.6,NEGROS- CEBU REG, PHILIPPINES,2019-03-25 16:37,753393
2019-03-16,09:58:20,13.64,120.87,130, ,Mw,5.4,MINDORO, PHILIPPINES,2019-03-16 19:37,751260
2019-03-15,23:07:56,6.26,125.43,92, ,Mw,5.5,MINDANAO, PHILIPPINES,2019-03-16 08:36,751135
2019-03-08,15:06:14,10.43,126.04,40, ,Mw,6,PHILIPPINE ISLANDS REGION,2019-03-08 15:34,749496,
